keyboard_ampersand: U+EA01
keyboard_ampersand_outline: U+EA02
keyboard_at_sign: U+EA03
keyboard_at_sign_outline: U+EA04
keyboard_backtick: U+EA05
keyboard_backtick_outline: U+EA06
keyboard_blank: U+EA07
keyboard_blank_outline: U+EA08
keyboard_brace_close: U+EA09
keyboard_brace_close_outline: U+EA0A
keyboard_brace_open: U+EA0B
keyboard_brace_open_outline: U+EA0C
keyboard_dollar: U+EA0D
keyboard_dollar_outline: U+EA0E
keyboard_hash: U+EA0F
keyboard_hash_outline: U+EA10
keyboard_parenthesis_close: U+EA11
keyboard_parenthesis_close_outline: U+EA12
keyboard_parenthesis_open: U+EA13
keyboard_parenthesis_open_outline: U+EA14
keyboard_percent: U+EA15
keyboard_percent_outline: U+EA16
keyboard_pipe: U+EA17
keyboard_pipe_outline: U+EA18
keyboard_speaker_high: U+EA19
keyboard_speaker_high_outline: U+EA1A
keyboard_speaker_low: U+EA1B
keyboard_speaker_low_outline: U+EA1C
keyboard_speaker_x: U+EA1D
keyboard_speaker_x_outline: U+EA1E
keyboard_sun: U+EA1F
keyboard_sun_dim: U+EA20
keyboard_sun_dim_outline: U+EA21
keyboard_sun_outline: U+EA22
keyboard_sym: U+EA23
keyboard_sym_outline: U+EA24
